level,game_id,away_team,home_team,team,player_name,prediction,value,home_win_probability,away_win_probability,projected_home_score,projected_away_score,likely_score,lineup_source,batting_order,polymarket_status,polymarket_market_id,polymarket_slug,polymarket_question,polymarket_url,polymarket_game_start_time,polymarket_fetched_at,polymarket_away_probability,polymarket_home_probability,polymarket_favorite,home_probability_edge,away_probability_edge,polymarket_volume,polymarket_liquidity,polymarket_total_status,polymarket_total_markets,market_premium_status,expected_market_home_premium_logit,expected_market_home_premium_points,synthetic_market_home_probability,synthetic_market_away_probability,synthetic_market_favorite,home_premium_adjusted_edge,away_premium_adjusted_edge,home_model_vs_synthetic_edge,away_model_vs_synthetic_edge,home_signal_edge,away_signal_edge,home_signal_score,away_signal_score,best_signal_team,best_signal_edge,best_signal_probability,best_signal_score,market_informed_status,market_informed_model_kind,base_home_win_probability,base_away_win_probability,market_informed_home_probability,market_informed_away_probability,market_informed_favorite,market_informed_home_delta,market_informed_away_delta,home_market_informed_edge,away_market_informed_edge
pitcher,13835c6d-ce91-53dd-af45-c8b31d34f817,,,SLN,Andre Pallante,walks,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,13835c6d-ce91-53dd-af45-c8b31d34f817,,,MIL,Brandon Sproat,strikeouts,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,13835c6d-ce91-53dd-af45-c8b31d34f817,,,MIL,Brandon Sproat,walks,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,1c406587-980b-5b80-9d4b-f67d5df282ac,,,HOU,Lance McCullers Jr.,strikeouts,6.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,1c406587-980b-5b80-9d4b-f67d5df282ac,,,HOU,Lance McCullers Jr.,walks,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,1c406587-980b-5b80-9d4b-f67d5df282ac,,,LAN,Tyler Glasnow,strikeouts,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,1c406587-980b-5b80-9d4b-f67d5df282ac,,,LAN,Tyler Glasnow,walks,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,9553348f-1cf8-5750-92cf-edaeb8a62d19,,,SFN,Adrian Houser,strikeouts,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,9553348f-1cf8-5750-92cf-edaeb8a62d19,,,SFN,Adrian Houser,walks,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,9553348f-1cf8-5750-92cf-edaeb8a62d19,,,SDN,Matt Waldron,strikeouts,4.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,9553348f-1cf8-5750-92cf-edaeb8a62d19,,,SDN,Matt Waldron,walks,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,d07e168a-3dec-5360-9316-35f4696845e8,,,ANA,Walbert Ureña,strikeouts,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,d07e168a-3dec-5360-9316-35f4696845e8,,,ANA,Walbert Ureña,walks,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,d07e168a-3dec-5360-9316-35f4696845e8,,,CHA,Noah Schultz,strikeouts,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,d07e168a-3dec-5360-9316-35f4696845e8,,,CHA,Noah Schultz,walks,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,70a5fdaa-9ccb-5fa2-8a7a-739b02873266,,,SEA,Bryan Woo,strikeouts,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,70a5fdaa-9ccb-5fa2-8a7a-739b02873266,,,SEA,Bryan Woo,walks,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,70a5fdaa-9ccb-5fa2-8a7a-739b02873266,,,ATL,Martín Pérez,strikeouts,4.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,70a5fdaa-9ccb-5fa2-8a7a-739b02873266,,,ATL,Martín Pérez,walks,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,e34ffd36-6bdf-5265-9740-663fbe005dba,,,PHI,Zack Wheeler,strikeouts,6.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,e34ffd36-6bdf-5265-9740-663fbe005dba,,,PHI,Zack Wheeler,walks,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,e34ffd36-6bdf-5265-9740-663fbe005dba,,,ATH,Jeffrey Springs,strikeouts,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,e34ffd36-6bdf-5265-9740-663fbe005dba,,,ATH,Jeffrey Springs,walks,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,98b50dde-2d06-55ba-9530-42f815b01828,,,MIA,Eury Pérez,strikeouts,5.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
